feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4930412B13Rik,4930412B13Rik,0.4265,1.1874,2.3822,0.4985,0.6182,1
4930412C18Rik,4930412C18Rik,1.565,-0.5392,1.2905,-0.4178,0.6761,1
4930412O13Rik,4930412O13Rik,0.318,0.6957,2.5589,0.2719,0.7857,1
4930413G21Rik,4930413G21Rik,110.3624,-0.0114,0.144,-0.0789,0.9371,1
4930414N06Rik,4930414N06Rik,0.9535,1.4008,1.7925,0.7815,0.4345,1
4930415O20Rik,4930415O20Rik,14.2526,-0.0401,0.3826,-0.1047,0.9166,1
4930417O13Rik,4930417O13Rik,1.2682,0.8787,1.3146,0.6685,0.5038,1
4930426L09Rik,4930426L09Rik,25.1278,0.0172,0.3602,0.0478,0.9619,1
4930427A07Rik,4930427A07Rik,541.8487,-0.1759,0.1902,-0.9247,0.3551,1
4930429B21Rik,4930429B21Rik,32.2891,-0.1941,0.3871,-0.5014,0.6161,1
4930429D17Rik,4930429D17Rik,0.3203,0.703,2.5545,0.2752,0.7832,1
4930429F24Rik,4930429F24Rik,73.1024,0.578,0.274,2.1094,0.0349,1
4930430F08Rik,4930430F08Rik,355.7019,0.2654,0.1688,1.573,0.1157,1
4930432K21Rik,4930432K21Rik,39.6014,-0.0784,0.2546,-0.3079,0.7582,1
4930443O20Rik,4930443O20Rik,4.6272,0.2966,0.6744,0.4398,0.6601,1
4930445N18Rik,4930445N18Rik,2.0793,2.2612,1.4251,1.5868,0.1126,1
4930447C04Rik,4930447C04Rik,2.431,0.0735,1.1749,0.0625,0.9501,1
4930447F24Rik,4930447F24Rik,156.5616,0.1234,0.251,0.4916,0.623,1
4930451G09Rik,4930451G09Rik,20.2879,-0.036,0.411,-0.0875,0.9303,1
4930452A19Rik,4930452A19Rik,1.4634,0.6594,1.2991,0.5075,0.6118,1
4930452B06Rik,4930452B06Rik,11.7652,-0.2901,0.6897,-0.4206,0.674,1
4930453N24Rik,4930453N24Rik,953.0769,0.0516,0.0845,0.6105,0.5416,1
4930455C13Rik,4930455C13Rik,3.4666,-0.7057,0.8949,-0.7886,0.4304,1
4930459C07Rik,4930459C07Rik,0.416,-0.7663,2.444,-0.3135,0.7539,1
4930461G14Rik,4930461G14Rik,1.0456,-0.6965,1.3648,-0.5103,0.6098,1
4930465K10Rik,4930465K10Rik,2.5226,-0.538,1.2003,-0.4482,0.654,1
4930467D21Rik,4930467D21Rik,1.6737,-1.3087,1.1659,-1.1224,0.2617,1
4930473A02Rik,4930473A02Rik,9.729,0.5257,0.5273,0.997,0.3188,1
4930474M22Rik,4930474M22Rik,2.3227,0.5654,1.059,0.5339,0.5934,1
4930478L05Rik,4930478L05Rik,0.6286,-0.4219,1.9595,-0.2153,0.8295,1
4930479D17Rik,4930479D17Rik,2.0917,-0.1255,1.075,-0.1168,0.9071,1
4930480K23Rik,4930480K23Rik,24.8019,0.0718,0.2768,0.2596,0.7952,1
4930481A15Rik,4930481A15Rik,0.6367,0.0052,1.8991,0.0027,0.9978,1
4930483J18Rik,4930483J18Rik,1.1698,-0.2405,1.3534,-0.1777,0.859,1
4930483K19Rik,4930483K19Rik,0.4241,0.005,2.0935,0.0024,0.9981,1
4930483O08Rik,4930483O08Rik,0.7262,-1.7444,2.1835,-0.7989,0.4243,1
4930486L24Rik,4930486L24Rik,31.0027,0.5185,0.3513,1.4759,0.14,1
