feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1500015O10Rik,1500015O10Rik,25.7367,-0.7689,0.4701,-1.6356,0.1019,0.7679
1500017E21Rik,1500017E21Rik,78.8354,0.1828,0.2154,0.8487,0.396,0.8991
1500026H17Rik,1500026H17Rik,1.6785,0.399,1.1381,0.3506,0.7259,0.9691
1600002H07Rik,1600002H07Rik,299.4134,0.0144,0.1152,0.1248,0.9007,0.986
1600002K03Rik,1600002K03Rik,211.1228,0.3436,0.2465,1.3943,0.1632,0.8037
1600012H06Rik,1600012H06Rik,1660.7042,-0.002,0.0772,-0.0262,0.9791,0.9999
1600014C10Rik,1600014C10Rik,673.6362,0.2093,0.1573,1.3303,0.1834,0.8131
1600014C23Rik,1600014C23Rik,1.1427,-0.5599,1.5462,-0.3621,0.7173,0.9665
1600020E01Rik,1600020E01Rik,213.3644,0.163,0.2026,0.8045,0.4211,0.9056
1600023N17Rik,1600023N17Rik,3.4531,0.9253,0.8747,1.0579,0.2901,0.8606
1600027J07Rik,1600027J07Rik,9.1181,-0.7584,0.681,-1.1136,0.2654,0.8547
1700001C19Rik,1700001C19Rik,0.5292,-1.5412,2.3447,-0.6573,0.511,0.9195
1700001G11Rik,1700001G11Rik,4.8144,0.2789,0.6693,0.4166,0.677,0.9602
1700001G17Rik,1700001G17Rik,4.8221,-0.1276,0.7038,-0.1814,0.8561,0.9796
1700001K19Rik,1700001K19Rik,10.0241,-0.4136,0.4672,-0.8854,0.376,0.8935
1700001K23Rik,1700001K23Rik,1.6645,1.0012,1.2609,0.794,0.4272,0.907
1700001L05Rik,1700001L05Rik,42.2257,0.0572,0.2772,0.2065,0.8364,0.9774
1700001L19Rik,1700001L19Rik,3.5511,-0.1233,0.7633,-0.1616,0.8716,0.9819
1700001O22Rik,1700001O22Rik,7.1258,0.3095,0.504,0.6141,0.5392,0.9277
1700001P01Rik,1700001P01Rik,2.942,0.4155,0.8981,0.4627,0.6436,0.9514
1700003E16Rik,1700003E16Rik,97.4683,0.2866,0.2034,1.4087,0.1589,0.8015
1700003F12Rik,1700003F12Rik,68.8575,0.4889,0.2634,1.8561,0.0634,0.7457
1700003G18Rik,1700003G18Rik,1.0538,-0.8247,1.5135,-0.5449,0.5858,0.9355
1700003M02Rik,1700003M02Rik,5.1227,-0.5003,0.7297,-0.6856,0.4929,0.9181
1700003M07Rik,1700003M07Rik,0.5254,1.4004,2.3848,0.5872,0.5571,0.929
1700006H21Rik,1700006H21Rik,0.7402,-1.1851,1.7948,-0.6603,0.5091,0.9195
1700007F19Rik,1700007F19Rik,0.3176,-0.6877,2.5704,-0.2675,0.789,0.97
1700007G11Rik,1700007G11Rik,2.4113,0.9498,0.9798,0.9694,0.3324,0.8775
1700007J10Rik,1700007J10Rik,29.0437,-0.1637,0.4767,-0.3434,0.7313,0.9694
1700007K09Rik,1700007K09Rik,0.6293,-1.5698,1.8455,-0.8506,0.395,0.8989
1700007K13Rik,1700007K13Rik,12.99,0.4209,0.4233,0.9945,0.32,0.8713
1700007L15Rik,1700007L15Rik,36.7227,0.0373,0.2356,0.1583,0.8742,0.9819
1700008J07Rik,1700008J07Rik,19.5163,0.1916,0.4065,0.4714,0.6374,0.9487
1700009N14Rik,1700009N14Rik,5.3491,-0.1387,0.6271,-0.2212,0.8249,0.9766
1700010I14Rik,1700010I14Rik,0.4187,0.7829,2.4788,0.3158,0.7521,0.9694
1700011E24Rik,1700011E24Rik,0.6329,0.0036,1.9005,0.0019,0.9985,1
1700011I03Rik,1700011I03Rik,3.154,0.4014,0.7773,0.5164,0.6056,0.941
1700011L22Rik,1700011L22Rik,0.6257,-1.7343,1.9028,-0.9114,0.3621,0.8873
1700012B07Rik,1700012B07Rik,2.2969,-1.1042,1.1245,-0.982,0.3261,0.8747
1700012B09Rik,1700012B09Rik,94.8567,0.3018,0.3237,0.9326,0.351,0.8839
1700012D01Rik,1700012D01Rik,22.7633,0.215,0.444,0.4842,0.6282,0.9451
1700012D14Rik,1700012D14Rik,5.4457,0.4002,0.6949,0.5759,0.5647,0.93
1700012H19Rik,1700012H19Rik,0.7306,-2.9865,2.0812,-1.435,0.1513,0.7968
1700013F07Rik,1700013F07Rik,2.6267,0.3773,0.8561,0.4407,0.6594,0.9548
1700013G24Rik,1700013G24Rik,6.3636,-0.4919,0.5815,-0.846,0.3975,0.8991
1700013H16Rik,1700013H16Rik,1.1513,-0.6381,1.2195,-0.5232,0.6008,0.9406
1700015F17Rik,1700015F17Rik,0.5179,-0.0578,2.0357,-0.0284,0.9774,0.9992
1700016D06Rik,1700016D06Rik,2.7165,1.0542,0.8671,1.2159,0.224,0.831
1700016L04Rik,1700016L04Rik,0.7378,0.3754,1.8723,0.2005,0.8411,0.9775
1700017B05Rik,1700017B05Rik,2613.9128,0.2011,0.1529,1.3155,0.1884,0.8161
1700018A04Rik,1700018A04Rik,9.43,-0.1833,0.4616,-0.3971,0.6913,0.9623
1700018C11Rik,1700018C11Rik,0.6301,0.6769,1.9732,0.3431,0.7316,0.9694
1700018L02Rik,1700018L02Rik,2.83,-0.0342,0.8289,-0.0413,0.967,0.9986
1700019A02Rik,1700019A02Rik,0.4235,0.0068,2.4853,0.0027,0.9978,1
1700019D03Rik,1700019D03Rik,0.5287,1.5475,2.344,0.6602,0.5091,0.9195
1700019G17Rik,1700019G17Rik,18.1653,0.4491,0.4247,1.0573,0.2904,0.8606
1700019L03Rik,1700019L03Rik,195.5501,0.7587,0.4106,1.8479,0.0646,0.7457
1700020A23Rik,1700020A23Rik,2.5075,-0.1245,1.0772,-0.1156,0.908,0.987
1700020D05Rik,1700020D05Rik,3.7832,-0.0491,0.7398,-0.0664,0.947,0.9934
1700020I14Rik,1700020I14Rik,900.7474,-0.232,0.2169,-1.0695,0.2849,0.8606
1700020L24Rik,1700020L24Rik,192.4219,0.5165,0.2862,1.805,0.0711,0.7515
1700020N01Rik,1700020N01Rik,0.5287,0.4876,2.3766,0.2052,0.8374,0.9774
