"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Piwil2","Piwil2",12.2421363054945,1.29885729326955,0.453941763417436,2.8612861779698,0.00421926004971604,0.0329991577831584,"Up"
"Adgrd1","Adgrd1",30.9373434757099,1.29649593688344,0.439325223640463,2.95110744186286,0.00316636753099424,0.0275923395104124,"Up"
"Fam83a","Fam83a",22.2345821548492,-1.29132564630062,0.440458469237004,-2.93177617526019,0.0033702955185677,0.0286232311440216,"Down"
"Trem2","Trem2",44.2640277617099,1.28362221661695,0.473995840869813,2.70808751034908,0.00676721760357763,0.0444575915231143,"Up"
"Cep290","Cep290",80.234658202807,1.28025219936039,0.186476772518806,6.86547810790362,6.6268927568137e-12,8.95094404662827e-08,"Up"
"Prdm1","Prdm1",165.105142235487,1.26993547909697,0.219197904309227,5.79355666332212,6.89112204786933e-09,1.03420428333968e-05,"Up"
"Abcb1a","Abcb1a",29.1613149444664,1.26548329323257,0.37042157004361,3.41633262092048,0.000634706688092902,0.0100880617304348,"Up"
"Ptgs2","Ptgs2",1431.03458001196,1.25819504187459,0.416507661961725,3.02082087985746,0.00252090440418216,0.0240805203587613,"Up"
"Ccl7","Ccl7",2158.8522849692,1.25403232015032,0.369390151809323,3.3948720993451,0.000686606678863741,0.0105506216284557,"Up"
"1700026D08Rik","1700026D08Rik",55.9021002176261,1.24716879442018,0.346983809040144,3.59431409168689,0.000325247284258677,0.00684526090605842,"Up"
"Cdkn1c","Cdkn1c",505.657840992519,-1.24638766215575,0.240054187230187,-5.19210965047902,2.07924480519018e-07,9.36145319456794e-05,"Down"
"Klf4","Klf4",2217.83934650345,1.2455267293498,0.254655750669415,4.89102141253701,1.00314049793837e-06,0.000270988374113072,"Up"
"Cilp2","Cilp2",27.1706594939964,-1.24505992506311,0.349835406582036,-3.55898774577335,0.000372286899540456,0.00746065156096874,"Down"
"Serpinb9e","Serpinb9e",90.4204160760218,1.23027727898547,0.282451082845819,4.35571804713895,1.32631412144912e-05,0.00120673280595253,"Up"
"Ifitm6","Ifitm6",33.0997111589962,1.22885238831468,0.432952867906063,2.83830522767505,0.0045353789703689,0.0347690170780132,"Up"
"Ckmt2","Ckmt2",19.4363261917016,-1.22381079908867,0.385190066905557,-3.1771608466444,0.00148724526743597,0.017513706911297,"Down"
"Mx1","Mx1",13.8209843322443,1.22289122604768,0.460596281146481,2.65501758503946,0.00793042742776289,0.0494992066852095,"Up"
"Neurl1b","Neurl1b",243.12448773442,-1.22265463000862,0.34200030808702,-3.57501031752732,0.000350214084959051,0.00717588080134154,"Down"
"Nrn1","Nrn1",1036.0351045567,1.22220255093543,0.223232456244681,5.4750217396515,4.37457902631771e-08,4.37207008326656e-05,"Up"
"Rtn4r","Rtn4r",80.456639495219,-1.22032530073046,0.316978898367597,-3.849862899439,0.000118183959469103,0.00379589600104752,"Down"
"Mgst1","Mgst1",2375.99101222949,1.21979242291258,0.255202374476882,4.779706401294,1.75551366759125e-06,0.000376376557272302,"Up"
"Susd1","Susd1",294.301093643055,1.21809474206277,0.272912774925362,4.46331155584746,8.07025753585771e-06,0.000908374737806918,"Up"
"Sox8","Sox8",851.948943386604,-1.21641001201089,0.38969154542086,-3.12146882914073,0.00179951297262925,0.0195700657981508,"Down"
"Lrrc15","Lrrc15",63.7663014792258,-1.21233894879938,0.285185124604951,-4.25105955466211,2.12761578990959e-05,0.00148900033545642,"Down"
"Mxd3","Mxd3",342.365497954784,-1.21021306126606,0.336793026358991,-3.59334358656251,0.000326461651236685,0.00685772554160793,"Down"
"Zfp423","Zfp423",22.2994739704031,-1.2057974919187,0.428450365186262,-2.81432247442361,0.00488801672986656,0.0362561460572804,"Down"
"Cthrc1","Cthrc1",461.579864909086,-1.20474712171099,0.432276110256448,-2.78698520026071,0.00532009086273934,0.0382022686246785,"Down"
"Tmem130","Tmem130",35.966620670767,-1.20243953263476,0.425574867295146,-2.82544770624539,0.0047214594153968,0.0355676253897181,"Down"
"Plekhg4","Plekhg4",329.523695221782,-1.20243912017605,0.302755413340031,-3.97165192493376,7.13759583860697e-05,0.00281071448956456,"Down"
"Asf1b","Asf1b",1466.12831015893,-1.20098006831326,0.382061895441614,-3.14341755260645,0.00166987449823487,0.0187147663134806,"Down"
"Kirrel3","Kirrel3",249.289270680921,-1.19911014020056,0.315876230113338,-3.79613920227652,0.000146966995831188,0.00424491998968199,"Down"
"Maff","Maff",1483.55400886753,1.19695172558592,0.262463042964055,4.56045815848383,5.10421324811086e-06,0.000674067689847203,"Up"
"Map3k8","Map3k8",552.405505410168,1.19639107922732,0.224229116497308,5.33557415698817,9.52426928395506e-08,6.76732597858437e-05,"Up"
"Cd14","Cd14",623.427456293615,1.18636765830666,0.298431423016275,3.97534430629298,7.02775081669889e-05,0.00280241875693805,"Up"
"Gsta4","Gsta4",2541.15742460391,1.18631654565242,0.40425736248717,2.93455767472899,0.0033402347055025,0.0285467544240543,"Up"
"Sema3g","Sema3g",166.101850208887,-1.18066668832828,0.272435301193844,-4.33375074065095,1.4659014369822e-05,0.00124956074804252,"Down"
"Hsd17b1","Hsd17b1",14.8832935025241,1.17013541207922,0.428493247068894,2.73081412620508,0.00631780926302903,0.0427957119938481,"Up"
"Slc22a4","Slc22a4",229.556273583553,1.16370751102146,0.32024378875179,3.63381758490065,0.000279258333731745,0.00631563337185171,"Up"
"Comp","Comp",16.1948544368652,-1.16242019947217,0.389578213299108,-2.98379159765716,0.00284700611617483,0.0258546701548712,"Down"
"Hmha1","Hmha1",26.3240011207079,1.16185475679625,0.29728271961794,3.90824854633137,9.29676391317695e-05,0.00333089190369735,"Up"
"Ppbp","Ppbp",44.6710122959705,1.15177761251457,0.308260141745876,3.73638189482205,0.00018668707209272,0.00498192380364453,"Up"
"Megf6","Megf6",477.326713520831,-1.14970991041208,0.270300479745482,-4.25345123876458,2.10500792236124e-05,0.00148860429357766,"Down"
"Hmox1","Hmox1",4264.19180780966,1.14654316795301,0.357141876955094,3.21032968110085,0.00132582813360549,0.0165355130199533,"Up"
"Arhgap26","Arhgap26",88.3774643493018,1.14623409441037,0.237685807968317,4.82247595768596,1.41787124201123e-06,0.000330192876997339,"Up"
"Pou2af1","Pou2af1",33.3886202206441,-1.14426503553046,0.363995989138985,-3.14361990151915,0.00166872036782705,0.0187147663134806,"Down"
"Serpina3g","Serpina3g",471.19195461901,1.14133573564857,0.247464696458433,4.61211539254967,3.98591602689611e-06,0.000611792815628247,"Up"
"Ptges","Ptges",57.2757551245144,1.14090294267413,0.300436051896582,3.79749013299794,0.000146168593061953,0.00423669353323561,"Up"
"Npas2","Npas2",95.7511507180299,1.14011248194659,0.291497269376204,3.91122868624602,9.18277723018804e-05,0.00332253015312029,"Up"
"Cyp3a13","Cyp3a13",28.4185336153561,1.13781382764204,0.416019665953174,2.73500009917826,0.00623802572654863,0.0425111067045875,"Up"
"Vldlr","Vldlr",2073.84522785368,1.12103903112155,0.253286229752908,4.42597701507569,9.60067471611148e-06,0.0010210733337836,"Up"
"Kctd12","Kctd12",93.1386930971545,-1.11267723021662,0.365565313761923,-3.04371664468489,0.00233675122010191,0.0228548144315109,"Down"
"Chd5","Chd5",30.6681525741828,1.11257276939987,0.384452038598349,2.89391824648955,0.00380467208354915,0.0311264117701383,"Up"
"BC022687","BC022687",1536.96517709464,1.11184806050567,0.408115124541106,2.72434907124764,0.00644283704462495,0.0432401640388718,"Up"
"Phex","Phex",226.504881242964,1.10922323419208,0.34529443478558,3.21239823885629,0.00131631771423971,0.0164320733514194,"Up"
"Gpr137c","Gpr137c",27.7032278809808,1.10784614494104,0.328447961348855,3.37297311997732,0.000743612116428543,0.0111848205530071,"Up"
